ID,名前,肩書き,シリーズ番号,シリーズ,手持ち1,手持ち2,手持ち3,手持ち4,手持ち5,手持ち6,画像ファイル,くれるもの,地方,会える場所,表示順,タイプ,アニメ登場回
1,レッド,主人公,1,赤・緑,,,,,,,01syujinko.PNG,,カントー地方,マサラタウン,1,,
2,サトシ,主人公,1,赤・緑,,,,,,,01syujinko.PNG,,カントー地方,マサラタウン,1,,
3,ジャック,主人公（ライバル）,1,赤・緑,,,,,,,01syujinko.PNG,,カントー地方,マサラタウン,1,,
4,グリーン,ライバル（主人公）,1,赤・緑,,,,,,,01_rv_green.PNG,,カントー地方,マサラタウン,1,,
5,シゲル,ライバル（主人公）,1,赤・緑,,,,,,,01_rv_green.PNG,,カントー地方,マサラタウン,1,,
6,ジョン,ライバル（主人公）,1,赤・緑,,,,,,,01_rv_green.PNG,,カントー地方,マサラタウン,1,,
7,ユキナリ,ポケモンはかせ（オーキド博士）,1,赤・緑,,,,,,,01_pr_okd.PNG,さいしょのポケモンとポケモンずかん,カントー地方,マサラタウン,1,,
8,タケシ,ジムリーダー,1,赤・緑,イシツブテ,イワーク,,,,,01_gym_2takeshi.PNG,グレーバッジとわざマシンと1386円,カントー地方,ニビジム,1,いわ,
9,カスミ,ジムリーダー,1,赤・緑,ヒトデマン,スターミー,,,,,01_gym_1kasumi.PNG,ブルーバッジとわざマシンと2079円,カントー地方,ハナダジム,1,みず,
10,マチス,ジムリーダー,1,赤・緑,ビリリダマ,ピカチュウ,ライチュウ,,,,01_gym_3matis.PNG,オレンジバッジとわざマシンと2376円,カントー地方,クチバジム,1,でんき,
11,エリカ,ジムリーダー,1,赤・緑,ウツボット,モンジャラ,ラフレシア,,,,01_gym_4erika.PNG,レインボーバッジとわざマシンと2871円,カントー地方,タマムシジム,1,くさ,
12,キョウ,ジムリーダー,1,赤・緑,ドガース,ベトベトン,ドガース,マタドガス,,,01_gym_6kyo.PNG,ピンクバッジとわざマシンと4257円,カントー地方,セキチクジム,1,どく,
13,ナツメ,ジムリーダー,1,赤・緑,ユンゲラー,バリヤード,モルフォン,フーディン,,,01_gym_5natume.PNG,ゴールドバッジとわざマシンと4257円,カントー地方,ヤマブキジム,1,エスパー,
14,カツラ,ジムリーダー,1,赤・緑,ガーディ,ポニータ,ギャロップ,ウインディ,,,01_gym_7katura.PNG,クリムゾンバッジとわざマシンと4653円,カントー地方,グレンジム,1,ほのお,
15,サカキ,ジムリーダー,1,赤・緑,サイホーン,ダグトリオ,ニドクイン,ニドキング,サイドン,,01_gym_8sakaki.PNG,グリーンバッジとわざマシンと4550円,カントー地方,トキワジム,1,じめん,
16,サカキ,ロケット団ボス,1,赤・緑,イワーク,サイホーン,ガルーラ,,,,01_gym_8sakaki.PNG,2871円,カントー地方,ロケット団アジト,1,,
17,サカキ,ロケット団ボス,1,赤・緑,ニドリーノ,ガルーラ,サイホーン,ニドクイン,,,01_gym_8sakaki.PNG,4059円,カントー地方,シルフカンパニー,1,,
18,カンナ,四天王,1,赤・緑,ジュゴン,パルシェン,ヤドラン,ルージュラ,ラプラス,,01_e4_kanna.PNG,5544円,カントー地方,ポケモンリーグ,1,こおり,
19,シバ,四天王,1,赤・緑,イワーク,エビワラー,サワムラー,イワーク,カイリキー,,01_e4_shiba.PNG,5742円,カントー地方,ポケモンリーグ,1,かくとう,
20,キクコ,四天王,1,赤・緑,ゲンガー,ゴルバット,ゴースト,アーボック,ゲンガー,,01_e4_kikuko.PNG,5940円,カントー地方,ポケモンリーグ,1,ゴースト,
21,ワタル,四天王,1,赤・緑,ギャラドス,ハクリュー,ハクリュー,プテラ,カイリュー,,01_e4_wataru.PNG,6138円,カントー地方,ポケモンリーグ,1,ドラゴン,
22,マサキ,ポケモンマニア,1,赤・緑,,,,,,,01_masaki.PNG,サントアンヌ号のチケット,カントー地方,みさきのこや,1,,
23,フジ,老人,1,赤・緑,,,,,,,,ポケモンのふえ,カントー地方,シオンタウン,1,,
24,ゴールド,主人公,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
25,ヒロキ,主人公（ライバル）,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
26,テツオ,主人公（ライバル）,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
27,タカシ,主人公（ライバル）,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
28,シルバー,ライバル,2,金・銀,,,,,,,,,ジョウト地方,ワカバタウン,4,,
29,カモン,主人公（ライバル）,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
30,トオル,主人公（ライバル）,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
31,マサオ,主人公（ライバル）,2,金・銀,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,4,,
32,ウツギ,ポケモンはかせ,2,金・銀,,,,,,,02_pr_utsugi.PNG,さいしょのポケモン,ジョウト地方,ワカバタウン,4,,
33,クリス,主人公,2b,クリスタル,,,,,,,02syujinko_f.PNG,,ジョウト地方,ワカバタウン,5,,
34,ヨウスケ,主人公,2b,クリスタル,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,5,,
35,タケヒロ,主人公,2b,クリスタル,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,5,,
36,タカオ,主人公,2b,クリスタル,,,,,,,02syujinko_m.PNG,,ジョウト地方,ワカバタウン,5,,
37,ハヤト,ジムリーダー,2,金・銀,ポッポ,ピジョン,,,,,,ウイングバッジとわざマシンと900円,ジョウト地方,キキョウジム,4,ひこう,
38,ツクシ,ジムリーダー,2,金・銀,トランセル,コクーン,ストライク,,,,,インセクトバッジとわざマシンと1600円,ジョウト地方,ヒワダジム,4,むし,
39,アカネ,ジムリーダー,2,金・銀,ピッピ,ミルタンク,,,,,,レギュラーバッジとわざマシンと2000円,ジョウト地方,コガネジム,4,ノーマル,
40,マツバ,ジムリーダー,2,金・銀,ゴース,ゴースト,ゲンガー,ゴースト,,,,ファントムバッジとわざマシンと2300円,ジョウト地方,エンジュジム,4,ゴースト,
41,シジマ,ジムリーダー,2,金・銀,オコリザル,ニョロボン,,,,,,ショックバッジとわざマシンと3000円,ジョウト地方,タンバジム,4,かくとう,
42,ミカン,ジムリーダー,2,金・銀,コイル,コイル,ハガネール,,,,,スチールバッジとわざマシンと3500円,ジョウト地方,アサギジム,4,はがね,
43,ヤナギ,ジムリーダー,2,金・銀,パウワウ,ジュゴン,イノムー,,,,,アイスバッジとわざマシンと3100円,ジョウト地方,チョウジジム,4,こおり,
44,イブキ,ジムリーダー,2,金・銀,ハクリュー,ハクリュー,ハクリュー,キングドラ,,,,ライジングバッジとわざマシンと4000円,ジョウト地方,フスベジム,4,ドラゴン,
45,アンズ,ジムリーダー,2,金・銀,クロバット,マタドガス,マタドガス,アリアドス,モルフォン,,,ピンクバッジとわざマシンと3900円,ジョウト地方,セキチクジム,4,どく,
46,グリーン,ジムリーダー,2,金・銀,ピジョット,フーディン,サイドン,ギャラドス,ナッシー,ウインディ,01_rv_green.PNG,グリーンバッジと5800円,ジョウト地方,トキワジム,4,,
47,ナナミ,グリーンの姉,2,金・銀,,,,,,,,グリーンの電話番号,ジョウト地方,マサラタウン,4,,
48,イツキ,四天王,2,金・銀,ネイティオ,ルージュラ,ナッシー,ヤドラン,ネイティオ,,,4200円,ジョウト地方,カントー地方ポケモンリーグ,4,エスパー,
49,キョウ,四天王,2,金・銀,アリアドス,フォレトス,ベトベトン,モルフォン,クロバット,,01_gym_6kyo.PNG,4400円,ジョウト地方,カントー地方ポケモンリーグ,4,どく,
50,シバ,四天王,2,金・銀,カポエラー,サワムラー,エビワラー,イワーク,カイリキー,,01_e4_shiba.PNG,4600円,ジョウト地方,カントー地方ポケモンリーグ,4,かくとう,
51,カリン,四天王,2,金・銀,ブラッキー,ラフレシア,ゲンガー,ヤミカラス,ヘルガー,,,4700円,ジョウト地方,カントー地方ポケモンリーグ,4,あく,
52,ワタル,チャンピオン,2,金・銀,ギャラドス,カイリュー,カイリュー,リザードン,プテラ,カイリュー,01_e4_wataru.PNG,5000円,ジョウト地方,カントー地方ポケモンリーグ,4,,
